nestl_bw,nestl_fws,sex,nestl,sex_ratio,incomplete,nestl_age,nestl_r_tars,nestl_mass,ln_nestl_r_tars,ln_nestl_mass,nestl_scaled_mass,mean_brood_mass,sd_brood_mass,nest_id,year,plot,elevation,treatment,female_fws,female_bands,female_age,female_r_tars,female_mass,ln_female_r_tars,ln_female_mass,ln_female_scaled_mass,male_fws,male_bands,male_age,ccd,ccd_ord,eggs,hd,hd_ord,hatched,fd,fd_ord,fledged,fate,period,caterpillar_biomass_nestl,ln_caterpillar_biomass_nestl
4777,2460-33087,0,4,0.5,,6,16.9,8.6,2.827313622,2.151762203,8.338174797,8.175,0.419324854,"""07-177""",2007,HB-mid,High,Fed,2460-33070,"RO,RA",SY,17.54,10.5,2.864483987,2.351375257,10.51400506,2460-33002,"Y,AK",ASY,6/16/07,167,4,6/28/07,179,4,7/7/07,188,4,FLEDGED,1,9.093677543,2.207579397
4830,2460-33088,1,4,0.75,,6,16,9,2.772588722,2.197224577,9.303998925,8.375,0.478713554,"""07-194""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,6/17/07,168,4,6/29/07,180,4,7/7/07,188,4,FLEDGED,1,17.9388595,2.886969282
4831,2460-33089,0,4,0.75,,6,15.9,8,2.766319109,2.079441542,8.331214555,8.375,0.478713554,"""07-194""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,6/17/07,168,4,6/29/07,180,4,7/7/07,188,4,FLEDGED,1,17.9388595,2.886969282
4832,2460-33090,1,4,0.75,,6,16.5,8.5,2.803360381,2.140066163,8.475854735,8.375,0.478713554,"""07-194""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,6/17/07,168,4,6/29/07,180,4,7/7/07,188,4,FLEDGED,1,17.9388595,2.886969282
4833,2460-33091,1,4,0.75,,6,16.8,8,2.821378886,2.079441542,7.810579741,8.375,0.478713554,"""07-194""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,6/17/07,168,4,6/29/07,180,4,7/7/07,188,4,FLEDGED,1,17.9388595,2.886969282
5032,2510-08137,1,4,0.25,,6,15.6,7.75,2.747270914,2.047692843,8.25306822,7.5,0.841625412,"""07-211""",2007,HB-main,High,Control,2460-32992,"AR,B",SY,18.08,9.2,2.894806355,2.219203484,9.205066999,2460-32993,"P,AW",SY,6/22/07,173,4,7/4/07,185,4,7/12/07,193,0,failed: pred,2,59.33587718,4.083214135
5033,2510-08138,0,4,0.25,,6,16,8,2.772588722,2.079441542,8.270221267,7.5,0.841625412,"""07-211""",2007,HB-main,High,Control,2460-32992,"AR,B",SY,18.08,9.2,2.894806355,2.219203484,9.205066999,2460-32993,"P,AW",SY,6/22/07,173,4,7/4/07,185,4,7/12/07,193,0,failed: pred,2,59.33587718,4.083214135
5034,2510-08139,0,4,0.25,,6,14.4,6.25,2.667228207,1.832581464,7.310295598,7.5,0.841625412,"""07-211""",2007,HB-main,High,Control,2460-32992,"AR,B",SY,18.08,9.2,2.894806355,2.219203484,9.205066999,2460-32993,"P,AW",SY,6/22/07,173,4,7/4/07,185,4,7/12/07,193,0,failed: pred,2,59.33587718,4.083214135
5035,2510-08140,0,4,0.25,,6,15.3,8,2.727852828,2.079441542,8.715401358,7.5,0.841625412,"""07-211""",2007,HB-main,High,Control,2460-32992,"AR,B",SY,18.08,9.2,2.894806355,2.219203484,9.205066999,2460-32993,"P,AW",SY,6/22/07,173,4,7/4/07,185,4,7/12/07,193,0,failed: pred,2,59.33587718,4.083214135
5028,2510-08133,1,4,0.75,,6,16.1,8,2.778819272,2.079441542,8.210050379,7.75,0.5,"""07-212""",2007,HB-main,High,Fed,2510-08104,"YY,YA",SY,17.68,10.5,2.872434057,2.351375257,10.51184873,2460-33031,"WO,WA",SY,6/21/07,172,4,7/3/07,184,4,7/10/07,191,0,failed: pred,2,26.90045801,3.292143313
